name,family,category,is_body,is_serif,is_italic,weight
Gamja Flower,Gamja Flower,handwriting,1,0,0,regular
Gayathri 100,Gayathri,sans-serif,1,0,0,thin
Gayathri 400,Gayathri,sans-serif,1,0,0,regular
Gayathri 700,Gayathri,sans-serif,1,0,0,bold
Gentium Basic 400,Gentium Basic,serif,1,1,0,regular
Gentium Basic 400 Italic,Gentium Basic,serif,1,1,1,regular
Gentium Basic 700,Gentium Basic,serif,1,1,1,bold
Gentium Basic 700 Italic,Gentium Basic,serif,1,1,1,bold
Gentium Book Basic 400,Gentium Book Basic,serif,1,1,0,regular
Gentium Book Basic 400 Italic,Gentium Book Basic,serif,1,1,1,regular
Gentium Book Basic 700,Gentium Book Basic,serif,1,1,1,bold
Gentium Book Basic 700 Italic,Gentium Book Basic,serif,1,1,1,bold
Geo 400,Geo,sans-serif,1,0,0,regular
Geo 400 Italic,Geo,sans-serif,1,0,1,regular
Geostar,Geostar,display,0,1,0,regular
Geostar Fill,Geostar Fill,display,0,1,0,regular
Germania One,Germania One,display,0,1,0,regular
Gidugu,Gidugu,sans-serif,1,0,0,regular
Gilda Display,Gilda Display,serif,1,1,0,regular
Give You Glory,Give You Glory,handwriting,1,0,0,regular
Glass Antiqua,Glass Antiqua,display,0,1,0,regular
Glegoo 400,Glegoo,serif,1,1,0,regular
Glegoo 700,Glegoo,serif,1,1,0,bold
Gloria Hallelujah,Gloria Hallelujah,handwriting,1,0,0,regular
Goblin One,Goblin One,display,0,1,0,regular
Gochi Hand,Gochi Hand,handwriting,1,0,0,regular
Gorditas 400,Gorditas,display,0,1,0,regular
Gorditas 700,Gorditas,display,0,1,0,bold
Gothic A1 100,Gothic A1,sans-serif,1,0,0,thin
Gothic A1 200,Gothic A1,sans-serif,1,0,0,extralight
Gothic A1 300,Gothic A1,sans-serif,1,0,0,light
Gothic A1 400,Gothic A1,sans-serif,1,0,0,regular
Gothic A1 500,Gothic A1,sans-serif,1,0,0,medium
Gothic A1 600,Gothic A1,sans-serif,1,0,0,semibold
Gothic A1 700,Gothic A1,sans-serif,1,0,0,bold
Gothic A1 800,Gothic A1,sans-serif,1,0,0,extrabold
Gothic A1 900,Gothic A1,sans-serif,1,0,0,black
Goudy Bookletter 1911,Goudy Bookletter 1911,serif,1,1,0,regular
Graduate,Graduate,display,0,1,0,regular
Grand Hotel,Grand Hotel,handwriting,1,0,0,regular
Gravitas One,Gravitas One,display,0,1,0,regular
Great Vibes,Great Vibes,handwriting,1,0,0,regular
Grenze 100,Grenze,serif,1,1,0,thin
Grenze 100 Italic,Grenze,serif,1,1,1,thin
Grenze 200,Grenze,serif,1,1,1,extralight
Grenze 200 Italic,Grenze,serif,1,1,1,extralight
Grenze 300,Grenze,serif,1,1,1,light
Grenze 300 Italic,Grenze,serif,1,1,1,light
Grenze 400,Grenze,serif,1,1,1,regular
Grenze 400 Italic,Grenze,serif,1,1,1,regular
Grenze 500,Grenze,serif,1,1,1,medium
Grenze 500 Italic,Grenze,serif,1,1,1,medium
Grenze 600,Grenze,serif,1,1,1,semibold
Grenze 600 Italic,Grenze,serif,1,1,1,semibold
Grenze 700,Grenze,serif,1,1,1,bold
Grenze 700 Italic,Grenze,serif,1,1,1,bold
Grenze 800,Grenze,serif,1,1,1,extrabold
Grenze 800 Italic,Grenze,serif,1,1,1,extrabold
Grenze 900,Grenze,serif,1,1,1,black
Grenze 900 Italic,Grenze,serif,1,1,1,black
Griffy,Griffy,display,0,1,0,regular
Gruppo,Gruppo,display,0,0,0,regular
Gudea 400,Gudea,sans-serif,1,0,0,regular
Gudea 400 Italic,Gudea,sans-serif,1,0,1,regular
Gudea 700,Gudea,sans-serif,1,0,1,bold
Gugi,Gugi,display,0,0,0,regular
Gurajada,Gurajada,serif,1,1,0,regular
Habibi,Habibi,serif,1,1,0,regular
Halant 300,Halant,serif,1,1,0,light
Halant 400,Halant,serif,1,1,0,regular
Halant 500,Halant,serif,1,1,0,medium
Halant 600,Halant,serif,1,1,0,semibold
Halant 700,Halant,serif,1,1,0,bold
Hammersmith One,Hammersmith One,sans-serif,1,0,0,regular
Hanalei,Hanalei,display,0,0,0,regular
Hanalei Fill,Hanalei Fill,display,0,0,0,regular
Handlee,Handlee,handwriting,1,0,0,regular
Happy Monkey,Happy Monkey,display,0,0,0,regular
Harmattan,Harmattan,sans-serif,1,0,0,regular
Headland One,Headland One,serif,1,1,0,regular
Heebo 100,Heebo,sans-serif,1,0,0,thin
Heebo 300,Heebo,sans-serif,1,0,0,light
