name,family,category,is_body,is_serif,is_italic,weight,glyphs,
Schoolbell,Schoolbell,handwriting,1,0,0,400,*,
Scope One,Scope One,serif,1,1,0,400,*,
Seaweed Script,Seaweed Script,display,0,1,0,400,*,
Secular One,Secular One,sans-serif,1,0,0,400,*,
Sedgwick Ave,Sedgwick Ave,handwriting,1,0,0,400,,
Sedgwick Ave Display,Sedgwick Ave Display,handwriting,1,0,0,400,,
Sevillana,Sevillana,script,0,1,0,400,,
Seymour One,Seymour One,sans-serif,1,0,0,400,*,
Shadows Into Light,Shadows Into Light,handwriting,1,0,0,400,*,
Shadows Into Light Two,Shadows Into Light Two,handwriting,1,0,0,400,*,
Shanti,Shanti,modern,1,0,0,400,,
Share Bold,Share,display,0,1,1,700,,
Share Bold Italic,Share,display,0,1,1,700,,
Share Regular,Share,display,0,1,0,400,,
Share Regular Italic,Share,display,0,1,1,400,,
Share Tech,Share Tech,modern,1,0,0,400,,
Share Tech Mono,Share Tech Mono,monospace,1,1,0,400,,
Shojumaru,Shojumaru,display,0,1,0,400,,
Short Stack,Short Stack,handwriting,1,0,0,400,,
Shrikhand,Shrikhand,display,0,1,0,400,,
Sigmar One,Sigmar One,retro,0,0,0,400,,
Signika Bold,Signika,modern,1,0,0,700,,
Signika Light,Signika,modern,1,0,0,300,,
Signika Regular,Signika,modern,1,0,0,400,,
Signika Semi Bold,Signika,modern,1,0,0,600,,
Signika Negative Bold,Signika Negative,modern,1,0,0,700,,
Signika Negative Light,Signika Negative,modern,1,0,0,300,,
Signika Negative Regular,Signika Negative,modern,1,0,0,400,,
Signika Negative Semi Bold,Signika Negative,modern,1,0,0,600,,
Simonetta Black,Simonetta,humanist,0,1,1,900,,
Simonetta Black Italic,Simonetta,humanist,0,1,1,900,,
Simonetta Regular,Simonetta,humanist,0,1,0,400,,
Simonetta Regular Italic,Simonetta,humanist,0,1,1,400,,
Sintony Bold,Sintony,modern,1,0,0,700,,
Sintony Regular,Sintony,modern,1,0,0,400,,
Sirin Stencil,Sirin Stencil,display,0,1,0,400,*,
Six Caps,Six Caps,contemporary,1,0,0,400,,
Skranji Bold,Skranji,display,0,1,0,700,,
Skranji Regular,Skranji,display,0,1,0,400,,
Slabo 13px,Slabo 13px,slab serif,1,1,0,400,,
Slabo 27px,Slabo 27px,slab serif,1,1,0,400,,
Slackey,Slackey,display,0,0,0,400,*,
Smokum,Smokum,western,0,1,0,400,,
Smythe,Smythe,display,0,1,0,400,*,
Sniglet Extra Bold,Sniglet,informal,0,0,0,800,,
Sniglet Regular,Sniglet,informal,0,0,0,400,,
Snippet,Snippet,informal,1,0,0,400,,
Snowburst One,Snowburst One,display,0,1,0,400,*,
Sofadi One,Sofadi One,geometric,0,0,0,400,,
Sofia,Sofia,script,1,0,0,400,,
Song Myung,Song Myung,serif,1,1,0,400,*,
Sonsie One,Sonsie One,retro,0,1,0,400,,
Sorts Mill Goudy Regular,Sorts Mill Goudy,oldstyle,1,1,0,400,,
Sorts Mill Goudy Regular Italic,Sorts Mill Goudy,oldstyle,1,1,1,400,,
Source Code Pro Black,Source Code Pro,monospace,1,1,1,900,,
Source Code Pro Black Italic,Source Code Pro,monospace,1,1,1,900,,
Source Code Pro Bold,Source Code Pro,monospace,1,1,1,700,,
Source Code Pro Bold Italic,Source Code Pro,monospace,1,1,1,700,,
Source Code Pro Extra Light,Source Code Pro,monospace,1,1,0,200,,
Source Code Pro Extra Light Italic,Source Code Pro,monospace,1,1,1,200,,
Source Code Pro Light,Source Code Pro,monospace,1,1,1,300,,
Source Code Pro Light Italic,Source Code Pro,monospace,1,1,1,300,,
Source Code Pro Medium,Source Code Pro,monospace,1,1,1,500,,
Source Code Pro Medium Italic,Source Code Pro,monospace,1,1,1,500,,
Source Code Pro Regular,Source Code Pro,monospace,1,1,1,400,,
Source Code Pro Regular Italic,Source Code Pro,monospace,1,1,1,400,,
Source Code Pro Semi Bold,Source Code Pro,monospace,1,1,1,600,,
Source Code Pro Semi Bold Italic,Source Code Pro,monospace,1,1,1,600,,
Source Sans Pro Black,Source Sans Pro,humanist,1,0,1,900,,
Source Sans Pro Black Italic,Source Sans Pro,humanist,1,0,1,900,,
Source Sans Pro Bold,Source Sans Pro,humanist,1,0,1,700,,
Source Sans Pro Bold Italic,Source Sans Pro,humanist,1,0,1,700,,
Source Sans Pro Extra Light,Source Sans Pro,humanist,1,0,0,200,,
Source Sans Pro Extra Light Italic,Source Sans Pro,humanist,1,0,1,200,,
Source Sans Pro Light,Source Sans Pro,humanist,1,0,1,300,,
Source Sans Pro Light Italic,Source Sans Pro,humanist,1,0,1,300,,
Source Sans Pro Regular,Source Sans Pro,humanist,1,0,1,400,,
Source Sans Pro Regular Italic,Source Sans Pro,humanist,1,0,1,400,,
Source Sans Pro Semi Bold,Source Sans Pro,humanist,1,0,1,600,,
Source Sans Pro Semi Bold Italic,Source Sans Pro,humanist,1,0,1,600,,
Source Serif Pro Bold,Source Serif Pro,modern,1,1,0,700,,
Source Serif Pro Regular,Source Serif Pro,modern,1,1,0,400,,
Source Serif Pro Semi Bold,Source Serif Pro,modern,1,1,0,600,,
Space Mono Bold,Space Mono,monospace,1,1,1,700,,
Space Mono Bold Italic,Space Mono,monospace,1,1,1,700,,
Space Mono Regular,Space Mono,monospace,1,1,0,400,,
Space Mono Regular Italic,Space Mono,monospace,1,1,1,400,,
Special Elite,Special Elite,display,0,1,0,400,,
Spectral Bold,Spectral,transitional,1,1,1,700,,
Spectral Bold Italic,Spectral,transitional,1,1,1,700,,
Spectral Extra Bold,Spectral,transitional,1,1,1,800,,
Spectral Extra Bold Italic,Spectral,transitional,1,1,1,800,,
Spectral Extra Light,Spectral,transitional,1,1,0,200,,
Spectral Extra Light Italic,Spectral,transitional,1,1,1,200,,
Spectral Light,Spectral,transitional,1,1,1,300,,
Spectral Light Italic,Spectral,transitional,1,1,1,300,,
Spectral Medium,Spectral,transitional,1,1,1,500,,
Spectral Medium Italic,Spectral,transitional,1,1,1,500,,
Spectral Regular,Spectral,transitional,1,1,1,400,,
Spectral Regular Italic,Spectral,transitional,1,1,1,400,,
Spectral Semi Bold,Spectral,transitional,1,1,1,600,,
Spectral Semi Bold Italic,Spectral,transitional,1,1,1,600,,
Spectral SC Bold,Spectral SC,transitional,1,1,1,700,,
Spectral SC Bold Italic,Spectral SC,transitional,1,1,1,700,,
Spectral SC Extra Bold,Spectral SC,transitional,1,1,1,800,,
Spectral SC Extra Bold Italic,Spectral SC,transitional,1,1,1,800,,
Spectral SC Extra Light,Spectral SC,transitional,1,1,0,200,,
Spectral SC Extra Light Italic,Spectral SC,transitional,1,1,1,200,,
Spectral SC Light,Spectral SC,transitional,1,1,1,300,,
Spectral SC Light Italic,Spectral SC,transitional,1,1,1,300,,
Spectral SC Medium,Spectral SC,transitional,1,1,1,500,,
Spectral SC Medium Italic,Spectral SC,transitional,1,1,1,500,,
Spectral SC Regular,Spectral SC,transitional,1,1,1,400,,
Spectral SC Regular Italic,Spectral SC,transitional,1,1,1,400,,
Spectral SC Semi Bold,Spectral SC,transitional,1,1,1,600,,
Spectral SC Semi Bold Italic,Spectral SC,transitional,1,1,1,600,,
Spicy Rice,Spicy Rice,retro,0,1,0,400,,
Spinnaker,Spinnaker,sans-serif,1,0,0,400,*,
Spirax,Spirax,script,0,1,0,400,,
Squada One,Squada One,geometric,0,1,0,400,,
Sree Krushnadevaraya,Sree Krushnadevaraya,serif,1,1,0,400,*,
Sriracha,Sriracha,handwriting,1,0,0,400,*,
Srisakdi Bold,Srisakdi,display,0,1,0,700,*,
Srisakdi Regular,Srisakdi,display,0,1,0,400,*,
Staatliches,Staatliches,display,0,0,0,400,*,
Stalemate,Stalemate,handwriting,1,0,0,400,*,
Stalinist One,Stalinist One,display,0,1,0,400,*,
Stardos Stencil Bold,Stardos Stencil,display,0,1,0,700,,
Stardos Stencil Regular,Stardos Stencil,display,0,1,0,400,,
Stint Ultra Condensed,Stint Ultra Condensed,display,0,1,0,400,*,
Stint Ultra Expanded,Stint Ultra Expanded,display,0,1,0,400,*,
Stoke Light,Stoke,serif,1,1,0,300,*,
Stoke Regular,Stoke,serif,1,1,0,400,*,
Strait,Strait,sans-serif,1,0,0,400,*,
Stylish,Stylish,contemporary,1,0,0,400,,
Sue Ellen Francisco,Sue Ellen Francisco,handwriting,1,0,0,400,*,
Suez One,Suez One,serif,1,1,0,400,*,
Sumana Bold,Sumana,serif,1,1,0,700,*,
Sumana Regular,Sumana,serif,1,1,0,400,*,
Sunflower Bold,Sunflower,sans-serif,1,0,0,700,*,
Sunflower Light,Sunflower,sans-serif,1,0,0,300,*,
Sunflower Medium,Sunflower,sans-serif,1,0,0,500,*,
Sunshiney,Sunshiney,handwriting,1,0,0,400,*,
Supermercado One,Supermercado One,geometric,0,1,0,400,,
Sura Bold,Sura,serif,1,1,0,700,*,
Sura Regular,Sura,serif,1,1,0,400,*,
Suranna,Suranna,serif,1,1,0,400,*,
Suravaram,Suravaram,serif,1,1,0,400,*,
Swanky and Moo Moo,Swanky and Moo Moo,handwriting,1,0,0,400,*,
Syncopate Bold,Syncopate,humanist,1,0,0,700,,
Syncopate Regular,Syncopate,humanist,1,0,0,400,,
Tajawal Black,Tajawal,sans-serif,1,0,0,900,*,
Tajawal Bold,Tajawal,sans-serif,1,0,0,700,*,
Tajawal Extra Bold,Tajawal,sans-serif,1,0,0,800,*,
Tajawal Extra Light,Tajawal,contemporary,1,0,0,200,,
Tajawal Light,Tajawal,sans-serif,1,0,0,300,*,
Tajawal Medium,Tajawal,sans-serif,1,0,0,500,*,
Tajawal Regular,Tajawal,sans-serif,1,0,0,400,*,
Tangerine Bold,Tangerine,script,1,0,0,700,,
Tangerine Regular,Tangerine,script,1,0,0,400,,
Tauri,Tauri,sans-serif,1,0,0,400,*,
Taviraj Black,Taviraj,serif,1,1,1,900,*,
Taviraj Black Italic,Taviraj,serif,1,1,1,900,*,
Taviraj Bold,Taviraj,serif,1,1,1,700,*,
Taviraj Bold Italic,Taviraj,serif,1,1,1,700,*,
Taviraj Extra Bold,Taviraj,serif,1,1,1,800,*,
Taviraj Extra Bold Italic,Taviraj,serif,1,1,1,800,*,
Taviraj Extra Light,Taviraj,classical,1,1,1,200,,
Taviraj Extra Light Italic,Taviraj,classical,1,1,1,200,,
Taviraj Light,Taviraj,serif,1,1,1,300,*,
Taviraj Light Italic,Taviraj,serif,1,1,1,300,*,
Taviraj Medium,Taviraj,serif,1,1,1,500,*,
Taviraj Medium Italic,Taviraj,serif,1,1,1,500,*,
Taviraj Regular,Taviraj,serif,1,1,1,400,*,
Taviraj Regular Italic,Taviraj,serif,1,1,1,400,*,
Taviraj Semi Bold,Taviraj,serif,1,1,1,600,*,
Taviraj Semi Bold Italic,Taviraj,serif,1,1,1,600,*,
Taviraj Thin,Taviraj,transitional,1,1,0,100,,
Taviraj Thin Italic,Taviraj,transitional,1,1,1,100,,
Teko Bold,Teko,geometric,1,0,0,700,,
Teko Light,Teko,geometric,1,0,0,300,,
Teko Medium,Teko,geometric,1,0,0,500,,
Teko Regular,Teko,geometric,1,0,0,400,,
Teko Semi Bold,Teko,geometric,1,0,0,600,,
Telex,Telex,humanist,1,0,0,400,,
Tenali Ramakrishna,Tenali Ramakrishna,sans-serif,1,0,0,400,*,
Tenor Sans,Tenor Sans,sans-serif,1,0,0,400,*,
Text Me One,Text Me One,sans-serif,1,0,0,400,*,
Thasadith Bold,Thasadith,sans-serif,1,0,1,700,*,
Thasadith Bold Italic,Thasadith,sans-serif,1,0,1,700,*,
Thasadith Regular,Thasadith,sans-serif,1,0,0,400,*,
Thasadith Regular Italic,Thasadith,sans-serif,1,0,1,400,*,
The Girl Next Door,The Girl Next Door,handwriting,1,0,0,400,*,
Tienne Black,Tienne,slab serif,1,1,0,900,,
Tienne Bold,Tienne,slab serif,1,1,0,700,,
Tienne Regular,Tienne,slab serif,1,1,0,400,,
Tillana Bold,Tillana,handwriting,1,0,0,700,,
Tillana Extra Bold,Tillana,handwriting,1,0,0,800,,
Tillana Medium,Tillana,handwriting,1,0,0,500,,
Tillana Regular,Tillana,handwriting,1,0,0,400,,
Tillana Semi Bold,Tillana,handwriting,1,0,0,600,,
Timmana,Timmana,sans-serif,1,0,0,400,*,
Tinos Bold,Tinos,contemporary,1,1,1,700,,
Tinos Bold Italic,Tinos,contemporary,1,1,1,700,,
Tinos Regular,Tinos,contemporary,1,1,0,400,,
Tinos Regular Italic,Tinos,contemporary,1,1,1,400,,
Titan One,Titan One,contemporary,0,0,0,400,,
Titillium Web Black,Titillium Web,humanist,1,0,1,900,,
Titillium Web Bold,Titillium Web,humanist,1,0,1,700,,
Titillium Web Bold Italic,Titillium Web,humanist,1,0,1,700,,
Titillium Web Extra Light,Titillium Web,humanist,1,0,0,200,,
Titillium Web Extra Light Italic,Titillium Web,humanist,1,0,1,200,,
Titillium Web Light,Titillium Web,humanist,1,0,1,300,,
Titillium Web Light Italic,Titillium Web,humanist,1,0,1,300,,
Titillium Web Regular,Titillium Web,humanist,1,0,1,400,,
Titillium Web Regular Italic,Titillium Web,humanist,1,0,1,400,,
Titillium Web Semi Bold,Titillium Web,humanist,1,0,1,600,,
Titillium Web Semi Bold Italic,Titillium Web,humanist,1,0,1,600,,
Trade Winds,Trade Winds,display,0,1,0,400,,
Trirong Black,Trirong,serif,1,1,1,900,*,
Trirong Black Italic,Trirong,serif,1,1,1,900,*,
Trirong Bold,Trirong,serif,1,1,1,700,*,
Trirong Bold Italic,Trirong,serif,1,1,1,700,*,
Trirong Extra Bold,Trirong,serif,1,1,1,800,*,
Trirong Extra Bold Italic,Trirong,serif,1,1,1,800,*,
Trirong Extra Light,Trirong,contemporary,1,1,1,200,,
Trirong Extra Light Italic,Trirong,contemporary,1,1,1,200,,
Trirong Light,Trirong,serif,1,1,1,300,*,
Trirong Light Italic,Trirong,serif,1,1,1,300,*,
Trirong Medium,Trirong,serif,1,1,1,500,*,
Trirong Medium Italic,Trirong,serif,1,1,1,500,*,
Trirong Regular,Trirong,serif,1,1,1,400,*,
Trirong Regular Italic,Trirong,serif,1,1,1,400,*,
Trirong Semi Bold,Trirong,serif,1,1,1,600,*,
Trirong Semi Bold Italic,Trirong,serif,1,1,1,600,*,
Trirong Thin,Trirong,transitional,1,1,0,100,,
Trirong Thin Italic,Trirong,transitional,1,1,1,100,,
Trocchi,Trocchi,slab serif,1,1,0,400,,
Trochut Bold,Trochut,display,0,1,1,700,*,
Trochut Regular,Trochut,display,0,1,0,400,*,
Trochut Regular Italic,Trochut,display,0,1,1,400,*,
Trykker,Trykker,modern,1,1,0,400,,
Tulpen One,Tulpen One,display,0,1,0,400,,
Turret Road Bold,Turret Road,display,0,0,0,700,*,
Turret Road Extra Bold,Turret Road,display,0,0,0,800,*,
Turret Road Extra Light,Turret Road,display,0,0,0,200,,
Turret Road Light,Turret Road,modern,0,0,0,300,,
Turret Road Medium,Turret Road,display,0,0,0,500,*,
Turret Road Regular,Turret Road,display,0,0,0,400,*,
Ubuntu Bold,Ubuntu,contemporary,1,0,1,700,,
Ubuntu Bold Italic,Ubuntu,contemporary,1,0,1,700,,
Ubuntu Light,Ubuntu,contemporary,1,0,0,300,,
Ubuntu Light Italic,Ubuntu,contemporary,1,0,1,300,,
Ubuntu Medium,Ubuntu,contemporary,1,0,1,500,,
Ubuntu Medium Italic,Ubuntu,contemporary,1,0,1,500,,
Ubuntu Regular,Ubuntu,contemporary,1,0,1,400,,
